No,News Title,Class,Prediction
36771,Hottie Report Card: Danielle Fishel,Entertainment,Business
23048,Barclays and BT Group shares rise sharply,Business,Business
65182,"Shigeru Ban, Japanese Disaster-Response Architect, Wins 2014 Pritzker  ...",Entertainment,Entertainment
18233,1st LD Writethru: Crude prices drop on Libya supplies,Business,Business
30190,'X-men' director denies sex assault on teen boy,Entertainment,Entertainment
3732,Other Views: Most big banks would fail test,Business,Business
18983,Gwyneth Paltro Chris Martin split not sitting well with her mom: Report,Entertainment,Entertainment
13625,Lindsay Lohan Tell All Book Coming After Oprah Winfrey Show on OWN?,Entertainment,Entertainment
235,"AbbVie, Shire agree on approx $55 billion combination, will form new UK  ...",Business,Business
3016,Alicia Keys Announces Pregnancy with Cute Photo,Entertainment,Entertainment
13701,Entertainer Mickey Rooney dies at 93,Entertainment,Entertainment
53571,Khloé Kardashian gets white Jeep for birthday,Entertainment,Entertainment
25783,Sales of new US homes plunge 14.5 percent in March,Business,Business
62372,"5-hour Energy sued for misleading advertising by Oregon, Washington and  ...",Business,Business
29420,"Seth Rogen hosts SNL with help from James Franco, Zooey Deschanel and  ...",Entertainment,Entertainment
52561,Ex-Bachelorette Jillian Harris Defends Juan Pablo Galavis For Not Saying 'I  ...,Entertainment,Entertainment
18870,Space Pens Mark 45th Anniversary of First Moon Landing,Technology,Technology
2345,Steve Martin quashes 'Father of the Bride III' rumours,Entertainment,Entertainment
17281,Zac Efron and Seth Rogen do drag with Jimmy Fallon,Entertainment,Entertainment
15248,Eli Wallach's 10 Greatest Roles (A Completely Biased List),Entertainment,Entertainment
26764,Movie review 'Rio 2': A musical on wings,Entertainment,Entertainment
1214,Dozens of Boston Concertgoers Receive Medical Treatment,Entertainment,Medical
41891,Nas' 'Time Is Illmatic': Documentary Recounts The Making Of A Classic Hip-Hop  ...,Entertainment,Entertainment
44036,Unemployment rates fall in 21 U.S. state last month,Business,Business
55788,Movie review: 'Legends of Oz' lacks heart,Entertainment,Entertainment
2127,Eminem & Rihanna To Perform At The 2014 MTV Movie Awards | News,Entertainment,Entertainment
43024,Games of Thrones season four premiere smashes rating records,Entertainment,Entertainment
