No,Comment,Class
2,and how many subscribers compared to her over a million,spam
3,HI! CHECK OUT OUR AWESOME COVERS! AND SAY WHAT YOU THINK!,spam
5,:D subscribe to me for daily vines,spam
6,"Part 2. Holy Mary, pray for us Holy Mother of God, pray for us Holy Virgin of virgins, pray for us Mother of Christ, pray for us Mother of divine grace, pray for us Mother most pure, pray for us Mother most chaste, pray for us Mother inviolate, pray for us Mother undefiled, pray for us Mother most amiable, pray for us Mother most admirable, pray for us Mother of good counsel, pray for us Mother of our Creator, pray for us Mother of our Redeemer, pray for us ",spam
7," I really can't comprehend Miley Cyrus , she actually is a high profile and she tapes herself banging Today a video was leeched with her sucking and fucking The video has been posted at the celebrity website under :  miley-celeb-news.co.uk ",spam
10,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,spam
11,"I hope everyone is in good spirits I'm a hard working student who's also a passionate singer I look foward to the day when I can make my own music to share But for now I've just been doing covers. Check out my channel, I've done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn't to become famous but to  inspire FYI this isn't spamming, everyone has a right to freedom of speech. Thanks ",spam
14,Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow,spam
16,Earn money for being online with 0 efforts!    bit.ly\14gKvDo,spam
17,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,spam
18,"Hello everyone, It Is not my intention to spam and am truly sorry If anyone Is annoyed by this but just please hear me out.  I am a rapper, singer, music producer and a song writer and have been making music for a while now, eight years to be exact.  I enjoy making all types of music that anyone can listen to, doesn't have me talking about killing anyone and most importantly, focuses on the quality of the music.  Please check out my page, It's only a click away.  Thank you and have a nice day :)",spam
