No,Comment,Class,Prediction
1226,i love u  shakira﻿,not spam,not spam
1082,Whose watching this in 2015. If so hi-5﻿,not spam,not spam
903,is that Megan fox﻿,not spam,not spam
1078,More views than nikki minaj Anaconda﻿,not spam,not spam
1195,You best singer﻿,not spam,not spam
1219,Love the way you lie - Driveshaft﻿,not spam,not spam
736,thumb up if you watching in 2015 and  you like it﻿,not spam,spam
201,if you need youtube subscriber mail hermann buchmair on fb,spam,spam
511,Check out this playlist on YouTube:👿👳👳👳👳👳﻿,spam,spam
828,"Please help me give my son a grave.  http://www.gofundme.com/BishopsGraveMarker Or please just share it on your  fb page, I do not have one anymore.﻿",spam,spam
194,"Hey everyone, I'm Dakoda Bigelow.  I'm a 17 year old singer, rapper and producer.  I've gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won't regret it :)  Please thumbs this up so more people can see it!  Thanks for the support.",spam,spam
613,Check out this playlist on YouTube: I tried﻿,spam,spam
981,why I dont see any comments but mine?:/﻿,not spam,not spam
1167,http://shhort.com/a?r=G8iX5cTKd﻿,spam,spam
425,SUP GUS THIS IS A VIDEO FOR PEOPLE WHO LOVES PARTY ROCK SO THANKS FOR WATCHING AND PLEASE SUBSCRIBE:)!!﻿,spam,spam
1059,Who is still watching in 2015﻿,not spam,not spam
433,Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,not spam,not spam
672,hi everyone this is cool check out sexy and i know it﻿,spam,spam
546,2015!! LLIKEE!!﻿,not spam,not spam
808,I lovet﻿,not spam,not spam
1160,SUBSCRIBE MY CHANNEL PLEASE LOL PRO PLAYS)﻿,spam,spam
737,"I believe that soccer promotes terrorism. Bad choice, Shakira.﻿",not spam,not spam
480,i think about 100 millions of the views come from people who only wanted to  check the views﻿,not spam,not spam
1027,"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",not spam,not spam
1118,"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",spam,spam
204,Check Out The New Hot Video By Dante B Called Riled Up,spam,spam
1070,I    loved        it           so       much          because         you          get         to         stand            fear .﻿,not spam,not spam
140,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate.",spam,spam
113,shakira is the best!,not spam,not spam
10,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,spam,spam
279,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality",spam,spam
766,Hey Guys Jaylan Here And I Just Wanted Everybody To Know if Yall Can Subscribe Please That Would Be Great! This Is My New Gaming Channel (Have Not Uploaded Yet)But I Will Upload If I Hit About 10 Subs Thank You :D﻿,spam,spam
